ID,MEMBER_ID,LOAN_AMNT,FUNDED_AMNT,FUNDED_AMNT_INV,TERM,INT_RATE,INSTALLMENT,GRADE,SUB_GRADE,EMP_TITLE,EMP_LENGTH,HOME_OWNERSHIP,ANNUAL_INC,VERIFICATION_STATUS,ISSUE_D,LOAN_STATUS,PYMNT_PLAN,PURPOSE,TITLE,ZIP_CODE,ADDR_STATE,DTI,DELINQ_2YRS,EARLIEST_CR_LINE,INQ_LAST_6MTHS,MTHS_SINCE_LAST_DELINQ,MTHS_SINCE_LAST_RECORD,OPEN_ACC,PUB_REC,REVOL_BAL,REVOL_UTIL,TOTAL_ACC,INITIAL_LIST_STATUS,OUT_PRNCP,OUT_PRNCP_INV,TOTAL_PYMNT,TOTAL_PYMNT_INV,TOTAL_REC_PRNCP,TOTAL_REC_INT,TOTAL_REC_LATE_FEE,RECOVERIES,COLLECTION_RECOVERY_FEE,LAST_PYMNT_D,LAST_PYMNT_AMNT,NEXT_PYMNT_D,LAST_CREDIT_PULL_D,COLLECTIONS_12_MTHS_EX_MED,MTHS_SINCE_LAST_MAJOR_DEROG,POLICY_CODE,APPLICATION_TYPE,ANNUAL_INC_JOINT,DTI_JOINT,VERIFICATION_STATUS_JOINT,ACC_NOW_DELINQ,TOT_COLL_AMT,TOT_CUR_BAL,OPEN_ACC_6M,OPEN_IL_6M,OPEN_IL_12M,OPEN_IL_24M,MTHS_SINCE_RCNT_IL,TOTAL_BAL_IL,IL_UTIL,OPEN_RV_12M,OPEN_RV_24M,MAX_BAL_BC,ALL_UTIL,TOTAL_REV_HI_LIM,INQ_FI,TOTAL_CU_TL,INQ_LAST_12M
1060082,1291917,25000,25000,25000.00,36 months,15.27,869.95,C,C4,Chaffey Joint Union High School District,8 years,OWN,82000.00,Verified,Dec-11,Fully Paid,n,debt_consolidation,Debt Consolidation Loan,917xx,CA,18.50,0,Sep-02,2,,,7,0,18223,70.60,23,f,0.00,0.00,28094.27,28094.27,25000.00,3094.27,0.00,0.00,0.00,Nov-12,19410.22,,Jan-15,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1064736,1298775,10000,10000,10000.00,36 months,15.96,351.38,C,C5,postal service,10+ years,RENT,53000.00,Verified,Dec-11,Fully Paid,n,debt_consolidation,save the day loan,960xx,CA,13.09,0,Nov-99,1,,,9,0,23870,77.20,19,f,0.00,0.00,12641.97,12641.97,10000.00,2641.97,0.00,0.00,0.00,Jan-15,371.75,,Dec-14,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1064711,1298745,7500,7500,7475.00,36 months,12.69,251.59,B,B5,AMS Design Inc.,5 years,RENT,65000.00,Not Verified,Dec-11,Fully Paid,n,credit_card,CC Refinance,900xx,CA,4.41,0,Mar-07,2,,,15,0,5927,35.50,22,f,0.00,0.00,9051.84,9021.70,7500.00,1551.84,0.00,0.00,0.00,Jan-15,270.37,,Jan-16,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1032875,1262430,8875,8875,8875.00,36 months,8.90,281.81,A,A5,Morongo Band of Mission Indians,6 years,OWN,28800.00,Not Verified,Dec-11,Fully Paid,n,debt_consolidation,Bill Payoff,922xx,CA,24.29,0,Sep-98,0,,,10,0,8890,69.50,23,f,0.00,0.00,10143.38,10143.38,8875.00,1268.38,0.00,0.00,0.00,Jan-15,291.21,,Jan-16,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1064666,1298492,14000,14000,14000.00,36 months,11.71,463.07,B,B3,Thomas Wirig Doll,1 year,RENT,52000.00,Not Verified,Dec-11,Fully Paid,n,credit_card,Credit Card Payoff,945xx,CA,12.97,0,Jan-05,1,,,6,0,13008,57.90,8,f,0.00,0.00,15609.96,15609.96,14000.00,1609.96,0.00,0.00,0.00,Feb-13,9596.96,,Feb-13,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1064636,1298456,12000,12000,12000.00,36 months,8.90,381.04,A,A5,Sterling Savings Bank,3 years,RENT,32000.00,Source Verified,Dec-11,Charged Off,n,debt_consolidation,Bye-bye high interest rates!,975xx,OR,6.75,0,Nov-05,0,,,9,0,5329,59.20,12,f,0.00,0.00,8740.16,8740.16,6603.89,1390.81,0.00,745.46,7.45,Sep-13,381.04,,Feb-14,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1064793,1298624,12000,12000,11975.00,36 months,8.90,381.04,A,A5,Arizona Department of Economic Security,7 years,MORTGAGE,40246.00,Verified,Dec-11,Fully Paid,n,credit_card,Credit Card Payoff,853xx,AZ,17.08,0,Aug-99,0,,,7,0,14573,72.20,24,f,0.00,0.00,13736.41,13707.80,12000.00,1717.36,19.05,0.00,0.00,Jan-15,418.47,,Jan-16,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1064783,1298613,8050,8050,8050.00,36 months,12.69,270.04,B,B5,PBM&M,1 year,RENT,36000.00,Source Verified,Dec-11,Charged Off,n,debt_consolidation,debt consolidation,986xx,WA,14.80,0,May-07,0,,,4,0,12000,81.30,7,f,0.00,0.00,1330.92,1330.92,748.57,327.43,0.00,254.92,2.82,Apr-12,270.04,,Sep-12,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1064623,1298440,5600,5600,5600.00,36 months,10.65,182.42,B,B2,ECR Inc,6 years,RENT,60000.00,Not Verified,Dec-11,Fully Paid,n,debt_consolidation,Debt Payment,950xx,CA,16.36,1,Apr-99,0,4,90,11,1,2238,12.40,25,f,0.00,0.00,6564.33,6564.33,5600.00,964.33,0.00,0.00,0.00,Jan-15,192.37,,Jan-16,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1064792,1298623,7500,7500,7500.00,36 months,9.91,241.69,B,B1,TechMD,3 years,RENT,31200.00,Not Verified,Dec-11,Fully Paid,n,credit_card,Credit Refinancing,928xx,CA,12.35,0,Oct-05,0,,,14,0,7790,57.30,18,f,0.00,0.00,8548.15,8548.15,7500.00,1048.15,0.00,0.00,0.00,Dec-13,3005.84,,Dec-13,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1064558,1298584,9800,9800,9800.00,36 months,16.29,345.95,D,D1,Gladding & Michel Inc.,4 years,RENT,67000.00,Not Verified,Dec-11,Fully Paid,n,credit_card,Credit Card Consolidation,941xx,CA,21.01,0,May-92,2,39,,14,0,21366,44.90,18,f,0.00,0.00,12159.38,12159.38,9800.00,2359.38,0.00,0.00,0.00,Jan-14,3866.00,,Jan-16,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1064527,1298549,8850,8850,8850.00,60 months,13.49,203.60,C,C1,Clark County SChool District,10+ years,MORTGAGE,89122.00,Source Verified,Dec-11,Fully Paid,n,major_purchase,Famleisure,891xx,NV,7.67,0,Nov-95,0,33,,17,0,5633,84.70,38,f,0.00,0.00,12021.06,12021.06,8850.00,3171.06,0.00,0.00,0.00,Dec-15,2655.46,,Jan-16,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1063899,1296478,6500,6500,6500.00,36 months,14.27,223.01,C,C2,Rudy's Barbershop,4 years,MORTGAGE,30000.00,Not Verified,Dec-11,Fully Paid,n,credit_card,The light,982xx,WA,10.12,0,Mar-03,0,48,,5,0,10843,81.50,9,f,0.00,0.00,7994.16,7994.16,6500.00,1494.16,0.00,0.00,0.00,Dec-14,228.19,,Dec-14,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1064317,1298320,10200,10200,10200.00,36 months,14.27,349.96,C,C2,Hopland Shokawah Casino,3 years,RENT,40000.00,Not Verified,Dec-11,Fully Paid,n,debt_consolidation,Freedom Consolidation,954xx,CA,16.53,0,Jan-07,1,,,7,0,9428,80.60,10,f,0.00,0.00,12182.11,12182.11,10200.00,1982.11,0.00,0.00,0.00,Oct-13,4856.49,,Jan-15,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1047743,1278851,25000,25000,24975.00,60 months,17.58,629.14,D,D4,City of Orland,10+ years,RENT,76000.00,Verified,Dec-11,Fully Paid,n,credit_card,Credit Card refinance,959xx,CA,18.85,0,Apr-95,0,47,,8,0,23624,60.10,24,f,0.00,0.00,33335.11,33301.87,25000.00,8335.11,0.00,0.00,0.00,Mar-14,17019.44,,Jan-16,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1047952,1279076,13000,13000,13000.00,60 months,9.91,275.64,B,B1,Modified Polymer Componets,2 years,RENT,26004.00,Source Verified,Dec-11,Fully Paid,n,other,Other Loan,951xx,CA,1.80,0,May-04,0,,,6,0,3839,21.40,13,f,0.00,0.00,16347.66,16347.66,13000.00,3347.66,0.00,0.00,0.00,Nov-15,3668.22,,Nov-15,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
903197,1123748,10000,10000,9950.00,36 months,10.65,325.74,B,B2,Time Frame,< 1 year,RENT,85000.00,Source Verified,Dec-11,Fully Paid,n,debt_consolidation,Debt Consolidation Loan,970xx,OR,12.16,0,Feb-06,0,,,7,0,6559,66.90,9,f,0.00,0.00,11723.37,11664.78,10000.00,1723.37,0.00,0.00,0.00,Dec-14,338.33,,Dec-14,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1047910,1279023,12000,12000,11950.00,36 months,11.71,396.92,B,B3,Ghilotti Construction Company,5 years,RENT,48000.00,Not Verified,Dec-11,Fully Paid,n,debt_consolidation,Credit Card Debt,945xx,CA,8.85,0,Oct-05,0,,,4,0,12184,81.80,8,f,0.00,0.00,14283.93,14224.47,12000.00,2283.93,0.00,0.00,0.00,Dec-14,415.65,,Oct-15,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1036728,1266604,30000,30000,29975.00,60 months,19.91,793.32,E,E4,The Boeing Company,10+ years,MORTGAGE,90000.00,Verified,Dec-11,Fully Paid,n,debt_consolidation,Loan 1,925xx,CA,4.31,1,Aug-98,0,10,,6,0,13072,67.40,15,f,0.00,0.00,45091.61,45054.04,30000.00,15091.61,0.00,0.00,0.00,Mar-15,14951.69,,Jan-16,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1047659,1278758,5000,5000,5000.00,36 months,7.51,155.56,A,A3,Sotheby's International Realty,9 years,MORTGAGE,55000.00,Verified,Dec-11,Fully Paid,n,debt_consolidation,Debt Consolidation Loan,917xx,CA,28.21,0,Aug-96,1,,,13,0,20060,59.90,33,f,0.00,0.00,5546.25,5546.25,5000.00,546.25,0.00,0.00,0.00,Feb-14,1673.03,,Jan-16,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1047451,1278533,28000,28000,28000.00,36 months,7.90,876.13,A,A4,Level 3 Post/ Deluxe,8 years,MORTGAGE,120000.00,Verified,Dec-11,Fully Paid,n,debt_consolidation,solid,914xx,CA,9.81,0,Nov-96,1,,,12,0,9835,21.50,29,f,0.00,0.00,31538.42,31538.42,28000.00,3538.42,0.00,0.00,0.00,Dec-14,888.95,,Mar-15,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1047832,1278934,6800,6800,6800.00,36 months,10.65,221.50,B,B2,"Zone57, Inc.",< 1 year,RENT,57000.00,Source Verified,Dec-11,Fully Paid,n,credit_card,Credit Card Consolidation (27% to 10%),926xx,CA,18.63,0,Jul-94,1,,,14,0,10024,87.20,33,f,0.00,0.00,7903.45,7903.45,6800.00,1103.45,0.00,0.00,0.00,Apr-14,1932.31,,Aug-14,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1047638,1278736,16800,16800,16800.00,36 months,12.42,561.38,B,B4,MullinTBG,10+ years,RENT,97000.00,Not Verified,Dec-11,Fully Paid,n,debt_consolidation,Faster Debt Reduction Loan,902xx,CA,15.75,0,Nov-96,1,,,9,0,22928,82.10,18,f,0.00,0.00,19951.62,19951.62,16800.00,3151.62,0.00,0.00,0.00,Mar-14,5384.34,,Mar-14,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1047351,1278444,6000,6000,6000.00,36 months,16.77,213.24,D,D2,UCSF/CVRI,< 1 year,MORTGAGE,42000.00,Source Verified,Dec-11,Fully Paid,n,debt_consolidation,Paying off CC,940xx,CA,6.83,0,Mar-96,0,35,,4,0,7788,93.80,8,f,0.00,0.00,7207.78,7207.78,6000.00,1207.78,0.00,0.00,0.00,Jun-13,3592.83,,Sep-15,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1040555,1270746,18000,18000,18000.00,60 months,13.49,414.09,C,C1,Manteca Unified School District,6 years,RENT,52000.00,Source Verified,Dec-11,Fully Paid,n,debt_consolidation,Debt Consolidation Loan,953xx,CA,17.77,0,Nov-00,2,,,8,0,12581,68.70,19,f,0.00,0.00,21707.07,21707.07,18000.00,3707.07,0.00,0.00,0.00,Sep-13,13438.33,,Sep-13,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1047629,1278727,11325,11325,11225.00,36 months,9.91,364.95,B,B1,Trader Joes,5 years,RENT,29000.00,Verified,Dec-11,Fully Paid,n,debt_consolidation,CCDebt,931xx,CA,16.80,0,Dec-99,0,,,6,0,14921,86.20,12,f,0.00,0.00,13134.88,13018.88,11325.00,1809.88,0.00,0.00,0.00,Dec-14,380.09,,Dec-15,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
937673,1158424,13975,13975,13975.00,36 months,8.90,443.76,A,A5,dun-rite excavating,1 year,MORTGAGE,42000.00,Not Verified,Dec-11,Fully Paid,n,credit_card,pay credit cards,952xx,CA,17.06,0,Sep-97,0,,,11,0,20975,59.30,26,f,0.00,0.00,14814.99,14814.99,13975.00,839.99,0.00,0.00,0.00,Sep-12,11269.92,,Sep-12,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1042468,1272750,14000,14000,14000.00,36 months,12.42,467.82,B,B4,taft union high school,6 years,OWN,52000.00,Not Verified,Dec-11,Fully Paid,n,debt_consolidation,payoff,932xx,CA,13.82,0,Jan-90,0,67,,7,0,13205,78.60,24,f,0.00,0.00,16627.81,16627.81,14000.00,2627.81,0.00,0.00,0.00,Mar-14,4481.39,,Jan-16,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1047556,1278651,16000,16000,16000.00,60 months,17.27,399.97,D,D3,The Salvation Army,10+ years,RENT,57000.00,Not Verified,Dec-11,Current,n,debt_consolidation,Last Time Loan,937xx,CA,10.91,0,Nov-89,0,57,,7,0,17289,87.40,16,f,4053.67,4053.67,19575.91,19575.91,11946.33,7629.58,0.00,0.00,0.00,Jan-16,399.97,Feb-16,Jan-16,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1047604,1278501,8000,8000,8000.00,36 months,12.69,268.36,B,B5,walgreens,5 years,RENT,36000.00,Not Verified,Dec-11,Charged Off,n,debt_consolidation,Debt Consolidation Loan,958xx,CA,11.13,1,Jun-00,0,7,,6,0,10736,82.00,20,f,0.00,0.00,3291.71,3291.71,2069.50,882.06,0.00,340.15,3.32,Dec-12,276.26,,Apr-13,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1047518,1278603,10000,10000,10000.00,36 months,16.77,355.39,D,D2,MADATIN GRORMET,6 years,OWN,45000.00,Source Verified,Dec-11,Fully Paid,n,credit_card,credit card refince,951xx,CA,8.43,0,Jul-05,0,,,5,0,9107,95.90,15,f,0.00,0.00,12781.86,12781.86,10000.00,2781.86,0.00,0.00,0.00,Nov-14,724.08,,Jan-16,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1046448,1277287,11200,11200,11125.00,36 months,10.65,364.83,B,B2,Claremont Hotel Club & Spa,10+ years,RENT,83000.00,Verified,Dec-11,Fully Paid,n,credit_card,CC Refinance,946xx,CA,10.15,0,May-94,0,24,,7,0,16259,55.70,12,f,0.00,0.00,13130.42,13042.53,11200.00,1930.42,0.00,0.00,0.00,Dec-14,377.75,,Dec-14,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
1047248,1278330,35000,35000,34963.33,60 months,23.13,989.29,G,G2,Merrill Lynch,3 years,MORTGAGE,220000.00,Source Verified,Dec-11,Charged Off,n,home_improvement,Home improvement loan,926xx,CA,18.36,0,Mar-00,3,,,8,0,51941,93.20,28,f,0.00,0.00,11699.83,11656.24,3431.53,6453.97,0.00,1814.33,18.00,Oct-12,989.29,,Mar-13,0,,1,INDIVIDUAL,,,,0,,,,,,,,,,,,,,,,,
14008371,16060772,10000,10000,10000.00,36 months,8.90,317.54,A,A5,maintenance,10+ years,MORTGAGE,110000.00,Verified,Apr-14,Current,n,credit_card,Credit card refinancing,925xx,CA,26.62,1,Feb-94,0,2,,15,0,10183,33.00,27,f,4491.69,4491.69,6668.34,6668.34,5508.31,1160.03,0.00,0.00,0.00,Jan-16,317.54,Feb-16,Jan-16,0,40,1,INDIVIDUAL,,,,1,0,337359,,,,,,,,,,,,30900,,,
14258152,16310540,6500,6500,6500.00,36 months,9.67,208.74,B,B1,Install Sales Coordinator,10+ years,MORTGAGE,37169.00,Not Verified,Apr-14,Fully Paid,n,credit_card,Credit card refinancing,956xx,CA,5.88,1,Feb-84,2,23,71,10,1,3727,36.90,37,f,0.00,0.00,6795.17,6795.17,6500.00,295.17,0.00,0.00,0.00,Oct-14,5751.47,,Mar-15,0,23,1,INDIVIDUAL,,,,0,0,334769,,,,,,,,,,,,10100,,,
14228072,16280465,7000,7000,7000.00,36 months,10.99,229.14,B,B2,general manager,5 years,RENT,55000.00,Source Verified,Apr-14,Current,n,debt_consolidation,Debt consolidation,913xx,CA,20.66,0,Jun-07,0,,,12,0,6452,55.60,22,f,3197.74,3197.74,4811.94,4811.94,3802.26,1009.68,0.00,0.00,0.00,Jan-16,229.14,Feb-16,Jan-16,0,,1,INDIVIDUAL,,,,0,761,37486,,,,,,,,,,,,11600,,,
14208155,16260555,10000,10000,10000.00,60 months,15.61,241.12,C,C5,Sr. Project Manager,1 year,MORTGAGE,115000.00,Not Verified,Apr-14,Current,n,debt_consolidation,Debt consolidation,920xx,CA,16.75,0,May-94,1,,78,18,1,18805,44.40,49,w,7338.39,7338.39,5063.52,5063.52,2661.61,2401.91,0.00,0.00,0.00,Jan-16,241.12,Feb-16,Jan-16,0,,1,INDIVIDUAL,,,,0,0,436571,,,,,,,,,,,,42400,,,
14208167,16260567,12000,12000,12000.00,36 months,11.99,398.52,B,B3,POS Analyst,1 year,RENT,87500.00,Source Verified,Apr-14,Current,n,credit_card,Credit card refinancing,980xx,WA,14.13,4,Mar-89,1,2,,10,0,12342,63.60,25,f,5525.65,5525.65,8368.92,8368.92,6474.35,1894.57,0.00,0.00,0.00,Jan-16,398.52,Feb-16,Jan-16,0,2,1,INDIVIDUAL,,,,1,0,34915,,,,,,,,,,,,19400,,,
13677267,15729616,9100,9100,9100.00,36 months,15.31,316.84,C,C4,,n/a,MORTGAGE,26000.00,Verified,Apr-14,Current,n,debt_consolidation,Debt consolidation,891xx,NV,20.13,0,Jan-88,0,,41,8,1,8143,75.00,29,f,4300.58,4300.58,6653.64,6653.64,4799.42,1854.22,0.00,0.00,0.00,Jan-16,316.84,Feb-16,Jan-16,0,38,1,INDIVIDUAL,,,,0,0,8143,,,,,,,,,,,,10924,,,
13066457,15098650,8000,8000,8000.00,36 months,11.99,265.68,B,B3,Administrative Services Manager,2 years,RENT,68000.00,Source Verified,Apr-14,Current,n,debt_consolidation,Debt consolidation,945xx,CA,19.33,0,Mar-98,0,,112,16,1,20497,48.90,21,w,3683.78,3683.78,5587.34,5587.34,4316.22,1271.12,0.00,0.00,0.00,Jan-16,265.68,Feb-16,Jan-16,0,,1,INDIVIDUAL,,,,0,0,36488,,,,,,,,,,,,41900,,,
14127661,16180063,30000,30000,30000.00,36 months,15.61,1048.95,C,C5,Teacher,10+ years,MORTGAGE,85000.00,Source Verified,Apr-14,Current,n,debt_consolidation,Debt consolidation,853xx,AZ,20.51,1,Aug-99,0,6,,22,0,28971,62.60,42,f,14217.15,14217.15,22027.95,22027.95,15782.85,6245.10,0.00,0.00,0.00,Jan-16,1048.95,Feb-16,Jan-16,0,46,1,INDIVIDUAL,,,,0,0,348966,,,,,,,,,,,,46300,,,
13847972,15900361,25000,25000,25000.00,36 months,7.62,779.04,A,A3,Registered Dental Hygienist,6 years,MORTGAGE,121337.50,Source Verified,Apr-14,Current,n,debt_consolidation,Debt consolidation,945xx,CA,14.51,0,Nov-82,0,,,9,0,22655,60.90,25,w,11112.52,11112.52,16359.84,16359.84,13887.48,2472.36,0.00,0.00,0.00,Jan-16,779.04,Feb-16,Jan-16,0,,1,INDIVIDUAL,,,,0,0,28991,,,,,,,,,,,,37200,,,
13858000,15910335,14400,14400,14400.00,36 months,7.90,450.58,A,A4,OPS Revenue Collection Manager,10+ years,MORTGAGE,80000.00,Not Verified,Apr-14,Fully Paid,n,debt_consolidation,Debt consolidation,982xx,WA,22.64,0,Dec-00,2,,,16,0,9876,24.90,38,f,0.00,0.00,15625.20,15625.20,14400.00,1225.20,0.00,0.00,0.00,Aug-15,8838.82,,Aug-15,0,,1,INDIVIDUAL,,,,0,0,216453,,,,,,,,,,,,39700,,,
